2021-09-28T13:40:41.116+09:00,ehdrm,Action,NewClass,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:43.442+09:00,ehdrm,KeyEvent,65535:16:1,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:43.553+09:00,ehdrm,KeyEvent,70:70:1,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:43.734+09:00,ehdrm,KeyEvent,99:67:0,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:44.430+09:00,ehdrm,Action,EditorBackSpace,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:44.437+09:00,ehdrm,KeyEvent,8:08:00,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:44.649+09:00,ehdrm,KeyEvent,65535:16:1,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:44.738+09:00,ehdrm,KeyEvent,67:67:1,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:44.940+09:00,ehdrm,KeyEvent,65535:16:1,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:45.000+09:00,ehdrm,KeyEvent,84:84:1,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:45.147+09:00,ehdrm,KeyEvent,69:69:1,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:45.677+09:00,ehdrm,Action,EditorBackSpace,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:45.679+09:00,ehdrm,KeyEvent,8:08:00,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:45.766+09:00,ehdrm,KeyEvent,101:69:0,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:45.861+09:00,ehdrm,KeyEvent,115:83:0,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:45.966+09:00,ehdrm,KeyEvent,116:84:0,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:47.237+09:00,ehdrm,KeyEvent,46:46:00,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:47.681+09:00,ehdrm,Action,EditorBackSpace,JavaPlatform,Popup,,,78,5,Default task
2021-09-28T13:40:47.683+09:00,ehdrm,KeyEvent,8:08:00,JavaPlatform,Popup,,,78,5,Default task
